ID,Key,Value
5000000,indicator-id,465
5000001,indicator,"Occupied dwelling units, by type of tenancy, by urban and rural areas (CELADE)"
5000002,theme,Social Indicators and Statistics
5000003,area,Housing
5000004,indicator-note,(Translation in progress ...)
5000005,unit,Number of dwellings
5000006,definition,"Corresponds to the number of occupied dwellings according to the relation governing the occupancy of the dwelling (owner, tenant and other) for a given census year and country, by national, urban and rural areas."
5000007,data-charactaristics,"Census data provided by the countries and collected by CELADE, 1980-2002"
5000008,methodology,"It is the count of the total number of occupied dwellings, classified by the type of tenancy. Categories of tenancy considered include ownership (totally paid), ownership (partially paid), rent, lease, rent free, squatted and others for a given census year and country."
5000009,commentary,"Information comes from national censuses, and the definition of the type of tenancyas well as the definition of urban and rural areavaries from country to country. These comparability problems must be taken into account when analyzing data."
1007,note,"Does include the category ""Does not answer"".                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
1005,note,Total number of dwellings.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
206,source,"Latin American and Caribbean Demographic Centre, ECLAC Population Division: Population and housing census database. Internal use. "
