key,value
name,Anguilla - Contraceptive use [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Contraceptive use [307]
description,"Corresponds to the percentage of women who are practising, or whose sexual partners are practising any form of contraception. It is usually reported for women ages 15-49 in marital or consensual unions"
category,Social
type,Health
file,contraception_aia_cepalstat.csv
filehash,3b778aaede97881352aae0ab16cea58d90031b42
columns,"year,value,source,notes"
