year,value,source,note
1990,958742013,Economic Commission for Latin America and the Caribbean,
1991,997578317,Economic Commission for Latin America and the Caribbean,
1992,984067494,Economic Commission for Latin America and the Caribbean,
1993,1048872652,Economic Commission for Latin America and the Caribbean,
1994,1096014311,Economic Commission for Latin America and the Caribbean,
1995,1150815026,Economic Commission for Latin America and the Caribbean,
1996,1241828150,Economic Commission for Latin America and the Caribbean,
1997,1462221857,Economic Commission for Latin America and the Caribbean,
1998,1570790494,Economic Commission for Latin America and the Caribbean,
1999,1706788315,Economic Commission for Latin America and the Caribbean,
2000,1799137411,Economic Commission for Latin America and the Caribbean,
2001,1754904198,Economic Commission for Latin America and the Caribbean,
2002,1779181323,Economic Commission for Latin America and the Caribbean,
2003,1811829150,Economic Commission for Latin America and the Caribbean,
2004,1819197873,Economic Commission for Latin America and the Caribbean,
2005,1900212078,Economic Commission for Latin America and the Caribbean,
2006,2187717526,Economic Commission for Latin America and the Caribbean,
2007,2314342666,Economic Commission for Latin America and the Caribbean,
2008,2703945634,Economic Commission for Latin America and the Caribbean,
2009,2170477608,Economic Commission for Latin America and the Caribbean,
2010,1965639795,Economic Commission for Latin America and the Caribbean,
2011,2050005213,Economic Commission for Latin America and the Caribbean,
2012,2074243365,Economic Commission for Latin America and the Caribbean,
