year,value,source,note
1990,-2109600,Economic Commission for Latin America and the Caribbean,
1991,-3859900,Economic Commission for Latin America and the Caribbean,
1992,-1883300,Economic Commission for Latin America and the Caribbean,
1993,-3267000,Economic Commission for Latin America and the Caribbean,
1994,-1245900,Economic Commission for Latin America and the Caribbean,
1995,-1472100,Economic Commission for Latin America and the Caribbean,
1996,1062500,Economic Commission for Latin America and the Caribbean,
1997,3380300,Economic Commission for Latin America and the Caribbean,
1998,-431900,Economic Commission for Latin America and the Caribbean,
1999,-2140500,Economic Commission for Latin America and the Caribbean,
2000,-1170600,Economic Commission for Latin America and the Caribbean,
2001,-1184400,Economic Commission for Latin America and the Caribbean,
2002,-1381600,Economic Commission for Latin America and the Caribbean,
2003,-1518700,Economic Commission for Latin America and the Caribbean,
2004,-1808700,Economic Commission for Latin America and the Caribbean,
2005,0,Economic Commission for Latin America and the Caribbean,
2006,-1498600,Economic Commission for Latin America and the Caribbean,
2007,-1983300,Economic Commission for Latin America and the Caribbean,
2008,-2839200,Economic Commission for Latin America and the Caribbean,
2009,-3306700,Economic Commission for Latin America and the Caribbean,
2010,-3061700,Economic Commission for Latin America and the Caribbean,
2011,-3392200,Economic Commission for Latin America and the Caribbean,
2012,-3672700,Economic Commission for Latin America and the Caribbean,
