year,value,source,note
1990,-14790900,Economic Commission for Latin America and the Caribbean,
1991,-13114900,Economic Commission for Latin America and the Caribbean,
1992,-7006300,Economic Commission for Latin America and the Caribbean,
1993,-7919400,Economic Commission for Latin America and the Caribbean,
1994,-7779900,Economic Commission for Latin America and the Caribbean,
1995,-7784800,Economic Commission for Latin America and the Caribbean,
1996,-6754700,Economic Commission for Latin America and the Caribbean,
1997,-5552200,Economic Commission for Latin America and the Caribbean,
1998,-6644800,Economic Commission for Latin America and the Caribbean,
1999,-6106600,Economic Commission for Latin America and the Caribbean,
2000,-5911500,Economic Commission for Latin America and the Caribbean,
2001,-9475700,Economic Commission for Latin America and the Caribbean,
2002,-12605900,Economic Commission for Latin America and the Caribbean,
2003,-3488000,Economic Commission for Latin America and the Caribbean,
2004,-167500,Economic Commission for Latin America and the Caribbean,
2005,-50000,Economic Commission for Latin America and the Caribbean,
2006,-2448100,Economic Commission for Latin America and the Caribbean,
2007,-15539200,Economic Commission for Latin America and the Caribbean,
2008,-12940999,Economic Commission for Latin America and the Caribbean,
2009,-9960800,Economic Commission for Latin America and the Caribbean,
2010,-10200700,Economic Commission for Latin America and the Caribbean,
2011,-12490900,Economic Commission for Latin America and the Caribbean,
2012,-13126000,Economic Commission for Latin America and the Caribbean,
