year,value,source,note
1990,-1830300,Economic Commission for Latin America and the Caribbean,
1991,-4048400,Economic Commission for Latin America and the Caribbean,
1992,-2931300,Economic Commission for Latin America and the Caribbean,
1993,-2437600,Economic Commission for Latin America and the Caribbean,
1994,-605800,Economic Commission for Latin America and the Caribbean,
1995,1155300,Economic Commission for Latin America and the Caribbean,
1996,1803300,Economic Commission for Latin America and the Caribbean,
1997,3059900,Economic Commission for Latin America and the Caribbean,
1998,1025300,Economic Commission for Latin America and the Caribbean,
1999,893500,Economic Commission for Latin America and the Caribbean,
2000,-473300,Economic Commission for Latin America and the Caribbean,
2001,-423200,Economic Commission for Latin America and the Caribbean,
2002,-175600,Economic Commission for Latin America and the Caribbean,
2003,-17000,Economic Commission for Latin America and the Caribbean,
2004,64199,Economic Commission for Latin America and the Caribbean,
2005,0,Economic Commission for Latin America and the Caribbean,
2006,149000,Economic Commission for Latin America and the Caribbean,
2007,278500,Economic Commission for Latin America and the Caribbean,
2008,-222100,Economic Commission for Latin America and the Caribbean,
2009,-324200,Economic Commission for Latin America and the Caribbean,
2010,-166400,Economic Commission for Latin America and the Caribbean,
2011,-382300,Economic Commission for Latin America and the Caribbean,
2012,-455200,Economic Commission for Latin America and the Caribbean,
