year,value,source,note
1990,-885790500,Economic Commission for Latin America and the Caribbean,
1991,-1011650100,Economic Commission for Latin America and the Caribbean,
1992,-1057983900,Economic Commission for Latin America and the Caribbean,
1993,-1157337400,Economic Commission for Latin America and the Caribbean,
1994,-1183487300,Economic Commission for Latin America and the Caribbean,
1995,-1145543300,Economic Commission for Latin America and the Caribbean,
1996,-1149463700,Economic Commission for Latin America and the Caribbean,
1997,-1159276800,Economic Commission for Latin America and the Caribbean,
1998,-1095886400,Economic Commission for Latin America and the Caribbean,
1999,-1012796000,Economic Commission for Latin America and the Caribbean,
2000,-903508600,Economic Commission for Latin America and the Caribbean,
2001,-789071500,Economic Commission for Latin America and the Caribbean,
2002,-686238400,Economic Commission for Latin America and the Caribbean,
2003,-661327000,Economic Commission for Latin America and the Caribbean,
2004,-462131300,Economic Commission for Latin America and the Caribbean,
2005,-3300,Economic Commission for Latin America and the Caribbean,
2006,211676600,Economic Commission for Latin America and the Caribbean,
2007,369631800,Economic Commission for Latin America and the Caribbean,
2008,672889200,Economic Commission for Latin America and the Caribbean,
2009,952152500,Economic Commission for Latin America and the Caribbean,
2010,1102982300,Economic Commission for Latin America and the Caribbean,
2011,1093711500,Economic Commission for Latin America and the Caribbean,
2012,1115605000,Economic Commission for Latin America and the Caribbean,
