year,value
1950,46054
1951,46139
1952,46495
1953,47051
1954,47739
1955,48494
1956,49253
1957,49955
1958,50546
1959,50973
1960,51197
1961,51195
1962,50966
1963,50533
1964,49934
1965,49211
1966,48355
1967,47383
1968,46399
1969,45534
1970,44882
1971,44490
1972,44328
1973,44314
1974,44327
1975,44278
1976,44142
1977,43946
1978,43704
1979,43450
1980,43205
1981,42978
1982,42761
1983,42539
1984,42294
1985,42017
1986,41697
1987,41353
1988,41045
1989,40854
1990,40833
1991,41009
1992,41360
1993,41836
1994,42363
1995,42888
1996,43391
1997,43885
1998,44391
1999,44938
2000,45544
2001,46214
2002,46934
2003,47679
2004,48421
2005,49139
2006,49823
2007,50478
2008,51110
2009,51731
2010,52352
