year,value
1950,68918
1951,71243
1952,73428
1953,75554
1954,77686
1955,79872
1956,82140
1957,84503
1958,86956
1959,89483
1960,92068
1961,94701
1962,97389
1963,100166
1964,103070
1965,106121
1966,109344
1967,112699
1968,116061
1969,119260
1970,122179
1971,124792
1972,127148
1973,129294
1974,131306
1975,133261
1976,135145
1977,136991
1978,138972
1979,141308
1980,144151
1981,147566
1982,151498
1983,155820
1984,160342
1985,164916
1986,169547
1987,174250
1988,178906
1989,183368
1990,187552
1991,191368
1992,194894
1993,198420
1994,202348
1995,206962
1996,212375
1997,218484
1998,225083
1999,231860
2000,238586
2001,245198
2002,251766
2003,258346
2004,265040
2005,271920
2006,278985
2007,286196
2008,293544
2009,301016
2010,308595
