year,value
1950,67000
1951,68067
1952,69270
1953,70594
1954,72022
1955,73528
1956,75081
1957,76642
1958,78168
1959,79616
1960,80948
1961,82144
1962,83206
1963,84167
1964,85076
1965,85972
1966,86860
1967,87736
1968,88615
1969,89518
1970,90457
1971,91440
1972,92465
1973,93516
1974,94572
1975,95614
1976,96639
1977,97649
1978,98634
1979,99589
1980,100506
1981,101378
1982,102202
1983,102985
1984,103742
1985,104477
1986,105197
1987,105892
1988,106533
1989,107081
1990,107509
1991,107811
1992,108001
1993,108097
1994,108129
1995,108122
1996,108078
1997,108001
1998,107923
1999,107879
2000,107897
2001,107989
2002,108150
2003,108353
2004,108562
2005,108749
2006,108908
2007,109045
2008,109158
2009,109249
2010,109316
