CountryName,2005 E-Participation Index,2005 E-Government Index,2005 Human Capital Index,2005 Online Service Index,2005 Infrastructure Index,2005 E-Government Rank,2005 Online Service Rank
Afghanistan ,0.0159,0.149,0.268,0.1769,0.002,168,124
Albania ,0.0317,0.3732,0.89,0.1615,0.068,102,136
Algeria ,0.0317,0.3242,0.69,0.2462,0.0365,123,104
Andorra ,0.0317,0.1836,0,0.2519,0.299,159,100
Angola ,0.0317,0.184,0.38,0.1654,0.0066,158,132
Antigua and Barbuda ,0.0317,0.401,0.8,0.1577,0.2454,86,138
Argentina ,0.2698,0.5971,0.96,0.6577,0.1737,34,27
Armenia ,0.0635,0.3625,0.9,0.1115,0.0759,106,147
Australia ,0.7143,0.8679,0.99,0.9038,0.7098,6,7
Austria,0.4127,0.7602,0.96,0.7423,0.5784,16,19
Azerbaijan ,0.0159,0.3773,0.88,0.1808,0.0712,101,123
Bahamas ,0.0317,0.4676,0.88,0.2923,0.2304,67,86
Bahrain ,0.0476,0.5282,0.85,0.4192,0.3152,53,67
Bangladesh ,0,0.1762,0.45,0.0731,0.0055,162,158
Barbados ,0.0476,0.492,0.95,0.2154,0.3107,61,118
Belarus ,0.2698,0.5318,0.95,0.4885,0.1571,51,53
Belgium ,0.5079,0.7381,0.99,0.7115,0.5127,18,23
Belize ,0.0159,0.3815,0.75,0.2538,0.1407,97,98
Benin ,0.0159,0.2309,0.44,0.2385,0.0142,151,108
Bhutan ,0.0476,0.2941,0.48,0.3846,0.0175,130,72
Bolivia ,0.0794,0.4017,0.86,0.2885,0.0568,85,87
Bosnia and Herzegovina ,0.0159,0.4019,0.84,0.2731,0.0926,84,94
Botswana ,0.0476,0.3978,0.76,0.3692,0.064,90,74
Brazil ,0.4921,0.5981,0.88,0.75,0.1644,33,17
Brunei Darussalam ,0.0317,0.4475,0.87,0.2462,0.2264,73,105
Bulgaria ,0.254,0.5605,0.91,0.5192,0.2522,45,48
Burkina Faso ,0.0159,0.1329,0.16,0.2327,0.006,172,109
Burundi ,0,0.1643,0.45,0.0385,0.0043,166,172
Cambodia ,0.1746,0.2989,0.66,0.2308,0.006,128,112
Cameroon ,0.0317,0.25,0.64,0.0962,0.0139,145,150
Canada ,0.873,0.8425,0.98,0.8923,0.6552,8,8
Cape Verde ,0.0794,0.3346,0.75,0.1731,0.0808,116,127
Central African Republic ,0,0.1443,0.43,0,0.0028,180,180
Chad ,0,0.1433,0.42,0.0077,0.0023,169,179
Chile ,0.5873,0.6963,0.9,0.9115,0.2773,22,6
China ,0.1905,0.5078,0.83,0.5692,0.1241,57,43
Colombia ,0.5873,0.5221,0.84,0.6154,0.111,54,31
Comoros ,0.0159,0.1974,0.53,0.0538,0.0082,155,166
Congo ,0.0317,0.2855,0.71,0.1346,0.0119,134,142
Costa Rica ,0.0476,0.4612,0.87,0.2538,0.2596,70,99
Côte d'Ivoire ,0.0159,0.182,0.47,0.0538,0.0223,160,167
Croatia ,0.1746,0.548,0.9,0.4423,0.3018,47,61
Cuba ,0.0159,0.37,0.91,0.15,0.0499,103,141
Cyprus ,0.0794,0.5872,0.89,0.4615,0.4101,37,55
Czech Republic ,0.2063,0.6396,0.92,0.5885,0.4102,29,37
Democratic People's Republic of Korea ,0,0.0019,0,0,0.0057,180,180
Democratic Republic of the Congo ,0,0.1707,0.51,0,0.0021,180,180
Denmark ,0.7619,0.9058,0.98,0.9731,0.7642,2,5
Djibouti ,0.0159,0.2381,0.52,0.1731,0.0211,149,125
Dominica ,0,0.3334,0.76,0.0692,0.1709,119,160
Dominican Republic ,0.0635,0.4076,0.82,0.3115,0.0912,82,81
Ecuador ,0.0635,0.3966,0.85,0.25,0.0899,92,102
Egypt ,0.0794,0.3793,0.62,0.4462,0.0717,99,59
El Salvador ,0.1587,0.4225,0.75,0.4269,0.0906,78,64
Equatorial Guinea ,0,0.2618,0.76,0,0.0254,180,180
Eritrea ,0.0317,0.1849,0.49,0.0577,0.0069,157,164
Estonia ,0.619,0.7347,0.98,0.6962,0.5281,19,25
Ethiopia ,0,0.136,0.39,0.0154,0.0027,171,176
Fiji ,0.0159,0.4081,0.86,0.2808,0.0836,81,90
Finland ,0.5556,0.8231,0.99,0.8269,0.6524,9,11
France,0.4127,0.6925,0.96,0.6115,0.506,23,33
Gabon ,0,0.2928,0.72,0.0923,0.0662,131,154
Gambia ,0.0476,0.1736,0.4,0.0962,0.0248,163,151
Georgia ,0.0159,0.4034,0.89,0.2115,0.1086,83,119
Germany ,0.5556,0.805,0.95,0.8423,0.6226,11,10
Ghana ,0.0317,0.2866,0.65,0.1885,0.0214,133,120
Greece ,0.1587,0.5921,0.95,0.5115,0.3148,35,50
Grenada ,0,0.3879,0.85,0.0885,0.2254,95,156
Guatemala ,0.2698,0.3777,0.65,0.4346,0.0484,100,62
Guinea ,0,0.1396,0.37,0.0385,0.0102,170,173
Guinea-Bissau ,0,0.1336,0.39,0,0.0107,180,180
Guyana ,0.0317,0.3985,0.89,0.1846,0.1209,89,122
Haiti ,0,0.1786,0.52,0,0.0157,180,180
Honduras ,0.2698,0.3348,0.74,0.2231,0.0412,115,114
Hungary ,0.381,0.6536,0.95,0.7038,0.3069,27,24
Iceland ,0.127,0.7794,0.96,0.6077,0.7704,15,34
India ,0.1587,0.4001,0.59,0.5827,0.0277,87,38
Indonesia ,0.2857,0.3819,0.8,0.2962,0.0494,96,84
Iran (Islamic Republic of) ,0.0317,0.3813,0.74,0.2962,0.1079,98,83
Iraq ,0,0.3334,0.93,0.0538,0.0164,118,168
Ireland ,0.1905,0.7251,0.96,0.7115,0.5037,20,22
Israel ,0.3175,0.6903,0.94,0.7308,0.4002,24,21
Italy ,0.2381,0.6794,0.93,0.6269,0.4812,25,30
Jamaica ,0.0952,0.5064,0.83,0.4885,0.2008,59,51
Japan ,0.4603,0.7801,0.94,0.8154,0.585,14,13
Jordan ,0.0476,0.4639,0.86,0.4346,0.0971,68,63
Kazakhstan ,0.2063,0.4813,0.93,0.45,0.0638,65,58
Kenya ,0.0317,0.3298,0.74,0.2308,0.0187,122,110
Kiribati ,0,0.0084,0,0,0.0253,180,180
Kuwait ,0,0.4431,0.81,0.25,0.2694,75,103
Kyrgyzstan ,0.1587,0.4417,0.92,0.3654,0.0398,76,75
Lao People's Democratic Republic ,0,0.2421,0.64,0.0788,0.0074,147,157
Latvia ,0.1746,0.605,0.95,0.4846,0.3805,32,54
Lebanon ,0.1111,0.456,0.84,0.3423,0.1857,71,77
Lesotho ,0.0159,0.3373,0.76,0.2385,0.0135,114,107
Liberia ,0,0.0011,0,0,0.0032,180,180
Libyan Arab Jamahiriya ,0,0.3091,0.87,0,0.0573,180,180
Liechtenstein,0.0794,0.1789,0,0.1731,0.3637,161,129
Lithuania ,0.1111,0.5786,0.96,0.5231,0.2528,40,47
Luxembourg,0.1429,0.6513,0.91,0.4,0.6439,28,69
Madagascar ,0.0476,0.2641,0.6,0.1846,0.0075,141,121
Malawi ,0.0159,0.2794,0.66,0.1731,0.0053,137,126
Malaysia,0.1746,0.5706,0.83,0.5769,0.3048,43,41
Maldives,0.0317,0.4321,0.91,0.3115,0.0748,77,82
Mali ,0,0.0925,0.21,0.0615,0.006,173,162
Malta ,0.4762,0.7012,0.87,0.7923,0.4413,21,16
Marshall Islands ,0,0.044,0,0.0904,0.0416,177,155
Mauritania ,0.0317,0.1723,0.42,0.0692,0.0278,164,159
Mauritius ,0.127,0.5317,0.79,0.6288,0.1762,52,29
Mexico ,0.7619,0.6061,0.85,0.8192,0.1491,31,12
Micronesia (Federated States of) ,0,0.0532,0,0.1077,0.0519,176,148
Monaco ,0.0317,0.2404,0,0.2192,0.5021,148,116
Mongolia ,0.254,0.3962,0.89,0.2308,0.0679,93,111
Montenegro,0.0909,0.4282,0.8911,0.3712,0.024,100,63
Morocco ,0.0317,0.2774,0.53,0.2385,0.0637,138,106
Mozambique ,0.3333,0.2448,0.45,0.2788,0.0057,146,91
Myanmar ,0.0476,0.2959,0.73,0.1538,0.004,129,140
Namibia ,0,0.3411,0.79,0.1654,0.0678,111,133
Nauru ,0,0.0357,0,0.0577,0.0495,179,165
Nepal ,0.0794,0.3021,0.5,0.4,0.0063,126,68
Netherlands ,0.6984,0.8021,0.99,0.7346,0.6815,12,20
New Zealand ,0.7937,0.7987,0.99,0.8038,0.6021,13,14
Nicaragua ,0.1111,0.3383,0.73,0.25,0.0348,113,101
Niger ,0,0.0661,0.18,0.0115,0.0069,174,178
Nigeria ,0.0794,0.2758,0.59,0.2231,0.0143,139,113
Norway ,0.3968,0.8228,0.99,0.7962,0.6823,10,15
Oman ,0.0159,0.3405,0.71,0.1731,0.1385,112,128
Pakistan ,0.127,0.2836,0.4,0.4269,0.0238,136,65
Palau ,0,0.0564,0,0.1692,0,175,130
Panama ,0.2698,0.4822,0.86,0.4885,0.098,64,52
Papua New Guinea ,0.0317,0.2539,0.57,0.1615,0.0302,142,137
Paraguay ,0.0159,0.362,0.85,0.1654,0.0706,107,134
Peru ,0.2698,0.5089,0.86,0.5577,0.1091,56,44
Philippines ,0.4762,0.5721,0.89,0.7423,0.084,41,18
Poland ,0.3492,0.5872,0.96,0.5115,0.2901,38,49
Portugal ,0.2063,0.6084,0.97,0.4269,0.4283,30,66
Qatar ,0.0476,0.4895,0.83,0.3269,0.3116,62,79
Republic of Korea ,0.873,0.8727,0.97,0.9769,0.6713,5,4
Republic of Moldova ,0,0.3459,0.87,0.0538,0.1138,109,169
Romania ,0.3175,0.5704,0.88,0.6423,0.1889,44,28
Russian Federation ,0.1429,0.5329,0.95,0.4538,0.1947,50,56
Rwanda ,0.0159,0.253,0.64,0.1154,0.0035,143,144
Saint Kitts and Nevis ,0.0635,0.4492,0.98,0.1115,0.2562,72,146
Saint Lucia ,0.0476,0.4467,0.88,0.2865,0.1737,74,88
Saint Vincent and the Grenadines ,0.0794,0.4001,0.77,0.2538,0.1763,88,97
Samoa ,0.0159,0.3977,0.89,0.2654,0.0377,91,95
San Marino ,0.0159,0.311,0,0.2846,0.6482,124,89
Sao Tome and Principe ,0,0.2837,0.76,0.0115,0.0797,135,177
Saudi Arabia ,0.0635,0.4105,0.71,0.3769,0.1445,80,73
Senegal ,0.0317,0.2238,0.39,0.2538,0.0275,153,96
Serbia,0.0476,0.196,0,0.4462,0.1417,156,60
Seychelles ,0.0476,0.4884,0.9,0.3308,0.2343,63,78
Sierra Leone ,0.0635,0.1639,0.39,0.0962,0.0056,167,152
Singapore ,0.9841,0.8503,0.91,0.9962,0.6448,7,2
Slovakia ,0.1746,0.5887,0.91,0.5385,0.3176,36,45
Slovenia ,0.2222,0.6762,0.96,0.5923,0.4762,26,36
