month,national
1970-01-01 00:00:00,48.50
1970-02-01 00:00:00,52.10
1970-03-01 00:00:00,130.80
1970-04-01 00:00:00,12.30
1970-05-01 00:00:00,4.20
1970-06-01 00:00:00,23.20
1970-07-01 00:00:00,14.70
1970-08-01 00:00:00,10.60
1970-09-01 00:00:00,21.50
1970-10-01 00:00:00,18.70
1970-11-01 00:00:00,1.20
1970-12-01 00:00:00,2.50
1971-01-01 00:00:00,22.00
1971-02-01 00:00:00,100.40
1971-03-01 00:00:00,1.10
1971-04-01 00:00:00,48.40
1971-05-01 00:00:00,55.70
1971-06-01 00:00:00,37.60
1971-07-01 00:00:00,9.50
1971-08-01 00:00:00,11.00
1971-09-01 00:00:00,29.30
1971-10-01 00:00:00,83.90
1971-11-01 00:00:00,45.00
1971-12-01 00:00:00,49.30
1972-01-01 00:00:00,48.90
1972-02-01 00:00:00,27.80
1972-03-01 00:00:00,89.80
1972-04-01 00:00:00,0.80
1972-05-01 00:00:00,13.40
1972-06-01 00:00:00,3.30
1972-07-01 00:00:00,17.30
1972-08-01 00:00:00,48.80
1972-09-01 00:00:00,35.00
1972-10-01 00:00:00,42.40
1972-11-01 00:00:00,37.60
1972-12-01 00:00:00,19.60
1973-01-01 00:00:00,27.30
1973-02-01 00:00:00,67.30
1973-03-01 00:00:00,2.10
1973-04-01 00:00:00,7.00
1973-05-01 00:00:00,137.30
1973-06-01 00:00:00,10.00
1973-07-01 00:00:00,4.40
1973-08-01 00:00:00,12.40
1973-09-01 00:00:00,6.10
1973-10-01 00:00:00,41.90
1973-11-01 00:00:00,31.00
1973-12-01 00:00:00,20.50
1974-01-01 00:00:00,45.70
1974-02-01 00:00:00,64.20
1974-03-01 00:00:00,37.20
1974-04-01 00:00:00,14.30
1974-05-01 00:00:00,9.00
1974-06-01 00:00:00,71.60
1974-07-01 00:00:00,10.40
1974-08-01 00:00:00,23.50
1974-09-01 00:00:00,14.80
1974-10-01 00:00:00,25.40
1974-11-01 00:00:00,31.40
1974-12-01 00:00:00,20.20
1975-01-01 00:00:00,6.10
1975-02-01 00:00:00,16.60
1975-03-01 00:00:00,9.30
1975-04-01 00:00:00,13.40
1975-05-01 00:00:00,8.00
1975-06-01 00:00:00,67.30
1975-07-01 00:00:00,22.30
1975-08-01 00:00:00,15.70
1975-09-01 00:00:00,17.00
1975-10-01 00:00:00,28.10
1975-11-01 00:00:00,96.60
1975-12-01 00:00:00,42.00
1976-01-01 00:00:00,122.10
1976-02-01 00:00:00,108.40
1976-03-01 00:00:00,49.00
1976-04-01 00:00:00,3.80
1976-05-01 00:00:00,3.40
1976-06-01 00:00:00,34.60
1976-07-01 00:00:00,73.40
1976-08-01 00:00:00,7.40
1976-09-01 00:00:00,26.70
1976-10-01 00:00:00,40.30
1976-11-01 00:00:00,28.50
1976-12-01 00:00:00,15.00
1977-01-01 00:00:00,18.50
1977-02-01 00:00:00,5.80
1977-03-01 00:00:00,3.30
1977-04-01 00:00:00,3.90
1977-05-01 00:00:00,12.90
1977-06-01 00:00:00,10.50
1977-07-01 00:00:00,6.80
1977-08-01 00:00:00,18.10
1977-09-01 00:00:00,10.20
1977-10-01 00:00:00,7.60
1977-11-01 00:00:00,31.30
1977-12-01 00:00:00,24.50
1978-01-01 00:00:00,50.60
1978-02-01 00:00:00,50.30
1978-03-01 00:00:00,65.70
1978-04-01 00:00:00,1.90
1978-05-01 00:00:00,46.50
