key,value
name,Saint Vincent and The Grenadines - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_vct_cepalstat.csv
filehash,fa6b6e3012158537047ee1a6e142926b1d392418
columns,"year,value,source,notes"
