key,value
name,Cuba - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_cub_cepalstat.csv
filehash,9bcc2c7aec1e4a26d45950c568ed501d1a1f4857
columns,"year,value,source,notes"
