key,value
name,Barbados - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_brb_cepalstat.csv
filehash,916608ae8addd2123e10385fac63435b81459064
columns,"year,value,source,notes"
