key,value
name,British Virgin Islands - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_vgb_cepalstat.csv
filehash,1c49698f61581a08ef48ac0ebdf31eaa97eb55b1
columns,"year,value,source,notes"
