key,value
name,Montserrat - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_msr_cepalstat.csv
filehash,586ca9be05652be61883ca73d812c5336aa9a4c1
columns,"year,value,source,notes"
