key,value
name,Bahamas - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_bhs_cepalstat.csv
filehash,90657eae09710adcaf3f6571177cc2cf3a69339c
columns,"year,value,source,notes"
