key,value
name,Trinidad and Tobago - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_tto_cepalstat.csv
filehash,447814050574ddb62fb88870069608362728f3f7
columns,"year,value,source,notes"
