year,estimated-population
1950,2380116
1951,2453292
1952,2531850
1953,2615349
1954,2703399
1955,2795660
1956,2891849
1957,2991731
1958,3095120
1959,3201859
1960,3311788
1961,3424702
1962,3540319
1963,3658264
1964,3778110
1965,3899504
1966,4022212
1967,4146104
1968,4271065
1969,4397027
1970,4523917
1971,4651703
1972,4780283
1973,4909454
1974,5038976
1975,5168720
1976,5298530
1977,5428547
1978,5559298
1979,5691517
1980,5825715
1981,5962066
1982,6100385
1983,6240380
1984,6381602
1985,6523696
1986,6666429
1987,6809797
1988,6953918
1989,7099011
1990,7245127
1991,7392389
1992,7540421
1993,7688196
1994,7834359
1995,7977966
1996,8118570
1997,8256495
1998,8392534
1999,8527881
2000,8663421
2001,8799298
2002,8935261
2003,9071318
2004,9207389
2005,9343362
2006,9479269
2007,9615015
2008,9750195
2009,9884265
2010,10016797
