year,value
1950,5919997
1951,6051282
1952,6180021
1953,6304515
1954,6424164
1955,6539464
1956,6652083
1957,6764786
1958,6881208
1959,7005486
1960,7141130
1961,7289830
1962,7450405
1963,7618358
1964,7787144
1965,7951916
1966,8110405
1967,8263513
1968,8413282
1969,8563130
1970,8715054
1971,8869924
1972,9025344
1973,9176167
1974,9315458
1975,9438366
1976,9543798
1977,9633669
1978,9710009
1979,9776117
1980,9835085
1981,9886228
1982,9930589
1983,9975082
1984,10028578
1985,10097020
1986,10183690
1987,10285920
1988,10396268
1989,10503898
1990,10600841
1991,10684831
1992,10757891
1993,10821551
1994,10878823
1995,10932013
1996,10980758
1997,11024249
1998,11063917
1999,11101580
2000,11138416
2001,11175465
2002,11212125
2003,11245926
2004,11273363
2005,11292078
2006,11301100
2007,11301674
2008,11296355
2009,11288826
2010,11281768
