year,value
1950,645628
1951,658830
1952,675742
1953,695467
1954,717161
1955,740036
1956,763355
1957,786438
1958,808663
1959,829489
1960,848481
1961,865356
1962,880019
1963,892571
1964,903272
1965,912419
1966,919902
1967,925918
1968,931466
1969,937846
1970,945996
1971,956364
1972,968742
1973,982594
1974,997052
1975,1011487
1976,1025655
1977,1039757
1978,1054109
1979,1069199
1980,1085308
1981,1102562
1982,1120610
1983,1138673
1984,1155701
1985,1170935
1986,1184053
1987,1195243
1988,1204890
1989,1213625
1990,1221904
1991,1229906
1992,1237486
1993,1244410
1994,1250316
1995,1255001
1996,1258365
1997,1260677
1998,1262544
1999,1264781
2000,1267980
2001,1272347
2002,1277723
2003,1283868
2004,1290379
2005,1296933
2006,1303478
2007,1310040
2008,1316449
2009,1322518
2010,1328095
