year,estimated-population
1950,26795
1951,27295
1952,27974
1953,28613
1954,29088
1955,29362
1956,29498
1957,29650
1958,30045
1959,30960
1960,32631
1961,35178
1962,38513
1963,42314
1964,46122
1965,49610
1966,52624
1967,55278
1968,57831
1969,60675
1970,64069
1971,68102
1972,72610
1973,77310
1974,81802
1975,85790
1976,89169
1977,92008
1978,94399
1979,96498
1980,98423
1981,100216
1982,101827
1983,103177
1984,104146
1985,104668
1986,104698
1987,104319
1988,103761
1989,103333
1990,103253
1991,103613
1992,104342
1993,105293
1994,106241
1995,107018
1996,107589
1997,108002
1998,108271
1999,108431
2000,108511
2001,108511
2002,108422
2003,108259
2004,108034
2005,107768
2006,107458
2007,107116
2008,106788
2009,106530
2010,106382
