year,estimated-population
1950,76676
1951,76626
1952,77135
1953,78103
1954,79432
1955,81028
1956,82797
1957,84647
1958,86495
1959,88256
1960,89861
1961,91260
1962,92424
1963,93354
1964,94066
1965,94579
1966,94878
1967,94962
1968,94875
1969,94682
1970,94430
1971,94180
1972,93937
1973,93629
1974,93151
1975,92453
1976,91435
1977,90187
1978,89070
1979,88571
1980,89004
1981,90575
1982,93091
1983,95981
1984,98440
1985,99907
1986,100146
1987,99381
1988,98063
1989,96871
1990,96286
1991,96455
1992,97201
1993,98302
1994,99403
1995,100253
1996,100796
1997,101125
1998,101302
1999,101441
2000,101620
2001,101849
2002,102099
2003,102369
2004,102655
2005,102951
2006,103260
2007,103586
2008,103932
2009,104296
2010,104677
